ProductTitle;ProductId;SkuId;TermDuration;BillingPlan;Segment;Currency;UnitPrice;ERP Price;CD ID;Unique CD ID
10-Year Audit Log Retention Add On (Education Pricing);CFQ7TTC0HL8Z;4;P1Y;Monthly;Education;GBP;15,48;19,44;CFQ7TTC0HL8Z-4-P1Y-Monthly-Education;CFQ7TTC0HL8Z-4-P1Y-Monthly-Education
10-Year Audit Log Retention Add On (Education Pricing);CFQ7TTC0HL8Z;4;P1M;Monthly;Education;GBP;1,48;1,85;CFQ7TTC0HL8Z-4-P1M-Monthly-Education;CFQ7TTC0HL8Z-4-P1M-Monthly-Education
10-Year Audit Log Retention Add On for FLW;CFQ7TTC0HL8Z;5;P1Y;Monthly;Commercial;GBP;10,44;12,96;CFQ7TTC0HL8Z-5-P1Y-Monthly-Commercial;CFQ7TTC0HL8Z-5-P1Y-Monthly-Commercial
10-Year Audit Log Retention Add On;CFQ7TTC0HL8Z;1;P1Y;Monthly;Commercial;GBP;15,48;19,44;CFQ7TTC0HL8Z-1-P1Y-Monthly-Commercial;CFQ7TTC0HL8Z-1-P1Y-Monthly-Commercial
10-Year Audit Log Retention Add On (Education Pricing);CFQ7TTC0HL8Z;4;P1Y;Annual;Education;GBP;14,78;18,48;CFQ7TTC0HL8Z-4-P1Y-Annual-Education;CFQ7TTC0HL8Z-4-P1Y-Annual-Education
10-Year Audit Log Retention Add On;CFQ7TTC0HL8Z;1;P1M;Monthly;Commercial;GBP;1,48;1,85;CFQ7TTC0HL8Z-1-P1M-Monthly-Commercial;CFQ7TTC0HL8Z-1-P1M-Monthly-Commercial
10-Year Audit Log Retention Add On;CFQ7TTC0HL8Z;1;P1Y;Annual;Commercial;GBP;14,78;18,48;CFQ7TTC0HL8Z-1-P1Y-Annual-Commercial;CFQ7TTC0HL8Z-1-P1Y-Annual-Commercial
10-Year Audit Log Retention Add On for FLW;CFQ7TTC0HL8Z;5;P1Y;Annual;Commercial;GBP;9,89;12,36;CFQ7TTC0HL8Z-5-P1Y-Annual-Commercial;CFQ7TTC0HL8Z-5-P1Y-Annual-Commercial
10-Year Audit Log Retention Add On for FLW;CFQ7TTC0HL8Z;5;P1M;Monthly;Commercial;GBP;0,99;1,24;CFQ7TTC0HL8Z-5-P1M-Monthly-Commercial;CFQ7TTC0HL8Z-5-P1M-Monthly-Commercial
Advanced Data Residency;CFQ7TTC0RN26;1;P1Y;Monthly;Commercial;GBP;15,48;19,44;CFQ7TTC0RN26-1-P1Y-Monthly-Commercial;CFQ7TTC0RN26-1-P1Y-Monthly-Commercial
Advanced Data Residency;CFQ7TTC0RN26;1;P3Y;Annual;Commercial;GBP;44,34;55,44;CFQ7TTC0RN26-1-P3Y-Annual-Commercial;CFQ7TTC0RN26-1-P3Y-Annual-Commercial
Advanced Data Residency;CFQ7TTC0RN26;1;P3Y;Triennial;Commercial;GBP;44,35;55,44;CFQ7TTC0RN26-1-P3Y-Triennial-Commercial;CFQ7TTC0RN26-1-P3Y-Triennial-Commercial
Advanced Data Residency;CFQ7TTC0RN26;1;P1Y;Annual;Commercial;GBP;14,78;18,48;CFQ7TTC0RN26-1-P1Y-Annual-Commercial;CFQ7TTC0RN26-1-P1Y-Annual-Commercial
Advanced Communications (Education Faculty Pricing);CFQ7TTC0HDK0;000C;P1M;Monthly;Education;GBP;1,78;2,22;CFQ7TTC0HDK0-000C-P1M-Monthly-Education;CFQ7TTC0HDK0-000C-P1M-Monthly-Education
Advanced Communications;CFQ7TTC0HDK0;1;P1Y;Monthly;Commercial;GBP;92,76;115,92;CFQ7TTC0HDK0-1-P1Y-Monthly-Commercial;CFQ7TTC0HDK0-1-P1Y-Monthly-Commercial
Advanced Communications (Education Faculty Pricing);CFQ7TTC0HDK0;000C;P1Y;Monthly;Education;GBP;18,6;23,28;CFQ7TTC0HDK0-000C-P1Y-Monthly-Education;CFQ7TTC0HDK0-000C-P1Y-Monthly-Education
Advanced Communications;CFQ7TTC0HDK0;1;P1Y;Annual;Commercial;GBP;88,32;110,4;CFQ7TTC0HDK0-1-P1Y-Annual-Commercial;CFQ7TTC0HDK0-1-P1Y-Annual-Commercial
Advanced Communications (Education Student Pricing);CFQ7TTC0HDK0;000D;P1Y;Annual;Education;GBP;13,25;16,56;CFQ7TTC0HDK0-000D-P1Y-Annual-Education;CFQ7TTC0HDK0-000D-P1Y-Annual-Education
Advanced Communications (Education Student Pricing);CFQ7TTC0HDK0;000D;P1M;Monthly;Education;GBP;1,32;1,66;CFQ7TTC0HDK0-000D-P1M-Monthly-Education;CFQ7TTC0HDK0-000D-P1M-Monthly-Education
Advanced Communications (Non-Profit Pricing);CFQ7TTC0HDK0;000B;P1Y;Annual;Charity;GBP;39,96;44,4;CFQ7TTC0HDK0-000B-P1Y-Annual-Charity;CFQ7TTC0HDK0-000B-P1Y-Annual-Charity
Advanced Communications (Non-Profit Pricing);CFQ7TTC0HDK0;000B;P1M;Monthly;Charity;GBP;4;4,44;CFQ7TTC0HDK0-000B-P1M-Monthly-Charity;CFQ7TTC0HDK0-000B-P1M-Monthly-Charity
Advanced Communications;CFQ7TTC0HDK0;1;P1M;Monthly;Commercial;GBP;8,83;11,04;CFQ7TTC0HDK0-1-P1M-Monthly-Commercial;CFQ7TTC0HDK0-1-P1M-Monthly-Commercial
Advanced Communications (Education Faculty Pricing);CFQ7TTC0HDK0;000C;P1Y;Annual;Education;GBP;17,76;22,2;CFQ7TTC0HDK0-000C-P1Y-Annual-Education;CFQ7TTC0HDK0-000C-P1Y-Annual-Education
Advanced Communications (Education Student Pricing);CFQ7TTC0HDK0;000D;P1Y;Monthly;Education;GBP;13,92;17,4;CFQ7TTC0HDK0-000D-P1Y-Monthly-Education;CFQ7TTC0HDK0-000D-P1Y-Monthly-Education
Advanced Communications (Non-Profit Pricing);CFQ7TTC0HDK0;000B;P1Y;Monthly;Charity;GBP;42;46,68;CFQ7TTC0HDK0-000B-P1Y-Monthly-Charity;CFQ7TTC0HDK0-000B-P1Y-Monthly-Charity
Advanced eDiscovery Storage (Non-Profit Pricing);CFQ7TTC0LHQD;5;P1Y;Annual;Charity;GBP;332,64;369,6;CFQ7TTC0LHQD-5-P1Y-Annual-Charity;CFQ7TTC0LHQD-5-P1Y-Annual-Charity
Advanced eDiscovery Storage (Non-Profit Pricing);CFQ7TTC0LHQD;5;P1M;Monthly;Charity;GBP;33,26;36,96;CFQ7TTC0LHQD-5-P1M-Monthly-Charity;CFQ7TTC0LHQD-5-P1M-Monthly-Charity
Advanced eDiscovery Storage;CFQ7TTC0LHQD;1;P1Y;Monthly;Commercial;GBP;775,2;969;CFQ7TTC0LHQD-1-P1Y-Monthly-Commercial;CFQ7TTC0LHQD-1-P1Y-Monthly-Commercial
Advanced eDiscovery Storage;CFQ7TTC0LHQD;1;P1Y;Annual;Commercial;GBP;738,24;922,8;CFQ7TTC0LHQD-1-P1Y-Annual-Commercial;CFQ7TTC0LHQD-1-P1Y-Annual-Commercial
Advanced eDiscovery Storage (Education Faculty Pricing);CFQ7TTC0LHQD;4;P1M;Monthly;Education;GBP;14,78;18,48;CFQ7TTC0LHQD-4-P1M-Monthly-Education;CFQ7TTC0LHQD-4-P1M-Monthly-Education
Advanced eDiscovery Storage;CFQ7TTC0LHQD;1;P1M;Monthly;Commercial;GBP;73,82;92,28;CFQ7TTC0LHQD-1-P1M-Monthly-Commercial;CFQ7TTC0LHQD-1-P1M-Monthly-Commercial
Advanced eDiscovery Storage (Education Faculty Pricing);CFQ7TTC0LHQD;4;P1Y;Monthly;Education;GBP;155,28;194,04;CFQ7TTC0LHQD-4-P1Y-Monthly-Education;CFQ7TTC0LHQD-4-P1Y-Monthly-Education
Advanced eDiscovery Storage (Non-Profit Pricing);CFQ7TTC0LHQD;5;P1Y;Monthly;Charity;GBP;349,32;388,08;CFQ7TTC0LHQD-5-P1Y-Monthly-Charity;CFQ7TTC0LHQD-5-P1Y-Monthly-Charity
Advanced eDiscovery Storage (Education Faculty Pricing);CFQ7TTC0LHQD;4;P1Y;Annual;Education;GBP;147,84;184,8;CFQ7TTC0LHQD-4-P1Y-Annual-Education;CFQ7TTC0LHQD-4-P1Y-Annual-Education
Microsoft Defender Suite for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;8;P1M;Monthly;Charity;GBP;3,35;3,72;CFQ7TTC10RSN-8-P1M-Monthly-Charity;CFQ7TTC10RSN-8-P1M-Monthly-Charity
Microsoft Defender and Purview Suites for Microsoft 365 Business Premium;CFQ7TTC10RSN;3;P1M;Monthly;Commercial;GBP;11,04;13,8;CFQ7TTC10RSN-3-P1M-Monthly-Commercial;CFQ7TTC10RSN-3-P1M-Monthly-Commercial
Microsoft Defender and Purview Suites for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;9;P1M;Monthly;Charity;GBP;4,97;5,52;CFQ7TTC10RSN-9-P1M-Monthly-Charity;CFQ7TTC10RSN-9-P1M-Monthly-Charity
Microsoft Purview Suite for Microsoft 365 Business Premium;CFQ7TTC10RSN;2;P1M;Monthly;Commercial;GBP;7,39;9,24;CFQ7TTC10RSN-2-P1M-Monthly-Commercial;CFQ7TTC10RSN-2-P1M-Monthly-Commercial
Microsoft Defender and Purview Suites for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;9;P1Y;Monthly;Charity;GBP;52,2;57,96;CFQ7TTC10RSN-9-P1Y-Monthly-Charity;CFQ7TTC10RSN-9-P1Y-Monthly-Charity
Microsoft Defender and Purview Suites for Microsoft 365 Business Premium;CFQ7TTC10RSN;3;P1Y;Annual;Commercial;GBP;110,4;138;CFQ7TTC10RSN-3-P1Y-Annual-Commercial;CFQ7TTC10RSN-3-P1Y-Annual-Commercial
Microsoft Purview Suite for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;7;P1Y;Monthly;Charity;GBP;35,16;39,12;CFQ7TTC10RSN-7-P1Y-Monthly-Charity;CFQ7TTC10RSN-7-P1Y-Monthly-Charity
Microsoft Purview Suite for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;7;P1M;Monthly;Charity;GBP;3,35;3,72;CFQ7TTC10RSN-7-P1M-Monthly-Charity;CFQ7TTC10RSN-7-P1M-Monthly-Charity
Microsoft Defender Suite for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;8;P1Y;Annual;Charity;GBP;33,48;37,2;CFQ7TTC10RSN-8-P1Y-Annual-Charity;CFQ7TTC10RSN-8-P1Y-Annual-Charity
Microsoft Purview Suite for Microsoft 365 Business Premium (Non-Profit Pricing);CFQ7TTC10RSN;7;P1Y;Annual;Charity;GBP;33,48;37,2;CFQ7TTC10RSN-7-P1Y-Annual-Charity;CFQ7TTC10RSN-7-P1Y-Annual-Charity
Microsoft Defender Suite for Microsoft 365 Business Premium;CFQ7TTC10RSN;1;P1Y;Monthly;Commercial;GBP;77,64;97,08;CFQ7TTC10RSN-1-P1Y-Monthly-Commercial;CFQ7TTC10RSN-1-P1Y-Monthly-Commercial
Microsoft Purview Suite for Microsoft 365 Business Premium;CFQ7TTC10RSN;2;P1Y;Annual;Commercial;GBP;73,92;92,4;CFQ7TTC10RSN-2-P1Y-Annual-Commercial;CFQ7TTC10RSN-2-P1Y-Annual-Commercial
Microsoft Defender Suite for Microsoft 365 Business Premium;CFQ7TTC10RSN;1;P1Y;Annual;Commercial;GBP;73,92;92,4;CFQ7TTC10RSN-1-P1Y-Annual-Commercial;CFQ7TTC10RSN-1-P1Y-Annual-Commercial
