ProductTitle;ProductId;SkuId;BillingPlan;Currency;Tags;ERP;Segment
Access LTSC 2024;DG7GMGF0PN5J;2;OneTime;GBP;"Software;Perpetual";40.25;Charity
Access LTSC 2024;DG7GMGF0PN5J;2;OneTime;GBP;"Software;Perpetual";162.77;Commercial
Access LTSC 2024;DG7GMGF0PN5J;2;OneTime;GBP;"Software;Perpetual";21.46;Education
Azure SQL Edge - 3 year;DG7GMGF0GJC2;1;Annual;GBP;"Software;Subscription";171.72;Commercial
Azure SQL Edge - 3 year;DG7GMGF0GJC2;1;Triennial;GBP;"Software;Subscription";171.72;Commercial
Azure SQL Edge - 1 year;DG7GMGF0GJC2;3;Annual;GBP;"Software;Subscription";95.7;Commercial
BizTalk Server 2020 Branch;DG7GMGF0G49Z;2;OneTime;GBP;"Software;Perpetual";483.85;Charity
BizTalk Server 2020 Branch;DG7GMGF0G49Z;2;OneTime;GBP;"Software;Perpetual";1210.07;Commercial
BizTalk Server 2020 Branch;DG7GMGF0G49Z;2;OneTime;GBP;"Software;Perpetual";302.29;Education
BizTalk Server 2020 Enterprise;DG7GMGF0G49X;1;OneTime;GBP;"Software;Perpetual";5292.81;Education
BizTalk Server 2020 Enterprise;DG7GMGF0G49X;1;OneTime;GBP;"Software;Perpetual";21173.93;Commercial
BizTalk Server 2020 Enterprise;DG7GMGF0G49X;1;OneTime;GBP;"Software;Perpetual";8469.57;Charity
BizTalk Server 2020 Standard;DG7GMGF0G49W;2;OneTime;GBP;"Software;Perpetual";1941.65;Charity
BizTalk Server 2020 Standard;DG7GMGF0G49W;2;OneTime;GBP;"Software;Perpetual";1212.75;Education
BizTalk Server 2020 Standard;DG7GMGF0G49W;2;OneTime;GBP;"Software;Perpetual";4853.68;Commercial
Excel LTSC 2024;DG7GMGF0PN5H;2;OneTime;GBP;"Software;Perpetual";21.46;Education
Excel LTSC 2024;DG7GMGF0PN5H;2;OneTime;GBP;"Software;Perpetual";162.77;Commercial
Excel LTSC 2024;DG7GMGF0PN5H;2;OneTime;GBP;"Software;Perpetual";40.25;Charity
Excel LTSC for Mac 2024;DG7GMGF0PN5G;1;OneTime;GBP;"Software;Perpetual";162.77;Commercial
Excel LTSC for Mac 2024;DG7GMGF0PN5G;1;OneTime;GBP;"Software;Perpetual";40.25;Charity
Excel LTSC for Mac 2024;DG7GMGF0PN5G;1;OneTime;GBP;"Software;Perpetual";21.46;Education
Exchange Server Enterprise 2019 User CAL;DG7GMGF0F4MD;4;OneTime;GBP;"Software;Perpetual";10.73;Education
Exchange Server Enterprise 2019 Device CAL;DG7GMGF0F4MD;5;OneTime;GBP;"Software;Perpetual";44.72;Commercial
Exchange Server Enterprise 2019 Device CAL;DG7GMGF0F4MD;5;OneTime;GBP;"Software;Perpetual";17.89;Charity
Exchange Server Enterprise 2019 Device CAL;DG7GMGF0F4MD;5;OneTime;GBP;"Software;Perpetual";10.73;Education
Exchange Server Enterprise 2019 User CAL;DG7GMGF0F4MD;4;OneTime;GBP;"Software;Perpetual";57.24;Commercial
Exchange Server Enterprise 2019 User CAL;DG7GMGF0F4MD;4;OneTime;GBP;"Software;Perpetual";17.89;Charity
Exchange Server Standard 2019 Device CAL;DG7GMGF0F4MB;5;OneTime;GBP;"Software;Perpetual";17.89;Charity
Exchange Server Standard 2019 User CAL;DG7GMGF0F4MB;4;OneTime;GBP;"Software;Perpetual";4.47;Education
Exchange Server Standard 2019 User CAL;DG7GMGF0F4MB;4;OneTime;GBP;"Software;Perpetual";92.12;Commercial
Exchange Server Standard 2019 Device CAL;DG7GMGF0F4MB;5;OneTime;GBP;"Software;Perpetual";71.55;Commercial
Exchange Server Standard 2019 Device CAL;DG7GMGF0F4MB;5;OneTime;GBP;"Software;Perpetual";3.58;Education
Exchange Server Standard 2019 User CAL;DG7GMGF0F4MB;4;OneTime;GBP;"Software;Perpetual";17.89;Charity
ESU for SQL 2014 Std 2 Core pack for 1st year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";3776.88;Commercial
ESU for SQL 2014 Std 2 Core pack for 3rd year EOS (Coverage July 15 2026 - July 14 2027);DG7GMGF0HX95;0;OneTime;GBP;"Software;Perpetual";3776.88;Commercial
ESU for SQL 2014 EE 2 Core pack for 2nd year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";14478.77;Commercial
ESU for SQL 2014 Std Per Server for 3rd year EOS (Coverage July 15 2026 - July 14 2027);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";943.55;Commercial
ESU for SQL 2014 EE 2 Core pack for 3rd year EOS (Coverage July 15 2026 - July 14 2027);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";14478.77;Commercial
ESU for SQL 2014 Std Per Server for 2nd year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Subscription";943.55;Commercial
ESU for SQL 2014 EE Per Server for 2nd year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";9048.22;Commercial
ESU for SQL 2014 Std 2 Core pack for 2nd year EOS (Coverage July 9 2025 - July 14 2026);DG7GMGF0HX95;;OneTime;GBP;"Software;Perpetual";3776.88;Commercial
